Last Executed, Executable Name, Run Count
2019-10-21 10:36:33.455304, MSCORSVW.EXE-90526fac, 13
2019-10-21 10:44:04.144758, MSCORSVW.EXE-245ed79e, 13
2019-10-21 11:02:58.801008, VBOXDRVINST.EXE-7dcd6070, 9
2019-10-21 11:25:38.851570, REGSVR32.EXE-8461dbee, 10
2019-10-21 12:52:15.442888, IPCONFIG.EXE-912f3d5b, 5
2019-10-21 13:18:52.212028, DLLHOST.EXE-d22eeb48, 8
2019-10-21 13:19:11.165154, DLLHOST.EXE-fde983af, 4
2019-10-21 13:19:19.774528, DLLHOST.EXE-40dd444d, 8
2019-10-21 13:19:56.071404, PING.EXE-7e94e73e, 13
2019-10-23 16:54:31.194682, NOTEPAD.EXE-d8414f97, 1
2019-10-23 17:08:14.946292, WMPLAYER.EXE-26c72a86, 1
2019-10-23 17:08:15.368168, SETUP_WM.EXE-d33fd27d, 1
2019-10-23 22:29:43.174802, VSSVC.EXE-b8afc319, 9
2019-10-23 22:29:43.713864, SVCHOST.EXE-7cfedea3, 9
2019-10-23 22:30:09.543454, RUNDLL32.EXE-411a328d, 3
2019-10-24 00:54:57.998434, SVCHOST.EXE-7ac6742a, 2
2019-10-24 07:21:14.732064, MOBSYNC.EXE-c5e2284f, 37
2019-10-24 08:24:11.684298, DLLHOST.EXE-f2dcef0d, 1
2019-10-24 08:24:16.418674, SVCHOST.EXE-3ab35ca7, 1
2019-10-24 08:33:20.502658, TASKMGR.EXE-5f5f473d, 1
2019-10-24 09:10:07.512174, ACRORD32.EXE-5dc429cc, 5
2019-10-24 09:10:10.450652, SVCHOST.EXE-80f4a784, 3
2019-10-24 09:10:10.466276, WERFAULT.EXE-37549b7e, 4
2019-10-24 09:31:02.680180, USERINIT.EXE-2257a3e7, 1
2019-10-24 09:31:02.758304, DWM.EXE-6ffd3da8, 1
2019-10-24 09:31:03.852054, RUNONCE.EXE-e293dd6, 1
2019-10-24 09:31:03.852054, VBOXTRAY.EXE-1d286c83, 1
2019-10-24 09:31:10.031742, WMPNSCFG.EXE-fc0d39bf, 47
2019-10-24 09:31:31.312992, THUNDERBIRD.EXE-a0da674f, 4
2019-10-24 09:31:57.507328, DLLHOST.EXE-76936ed5, 2
2019-10-24 09:33:12.713382, CONSENT.EXE-531bd9ea, 17
2019-10-24 09:33:14.248540, DLLHOST.EXE-766398d2, 26
2019-10-24 09:33:14.270024, TAREA.EXE-c87edcc3, 1
2019-10-24 09:35:04.756352, DLLHOST.EXE-ecb71776, 11
2019-10-24 10:06:12.476500, AUDIODG.EXE-bdfd3029, 21
2019-10-24 10:07:08.739278, DLLHOST.EXE-5e46fa0d, 22
2019-10-24 10:07:11.926778, EXPLORER.EXE-a80e4f97, 6
2019-10-24 10:07:44.733420, SCALC.EXE-45a807c5, 4
2019-10-24 10:07:44.764668, SOFFICE.EXE-bb81bcca, 4
2019-10-24 10:07:44.802756, SOFFICE.BIN-af0fd5a5, 4
2019-10-24 10:31:38.106206, RDPCLIP.EXE-9067fa0e, 1
2019-10-24 10:31:41.278082, FIREFOX.EXE-18acfcff, 64
2019-10-24 10:39:43.703018, SLUI.EXE-724e99d9, 7
2019-10-24 10:45:10.501860, WUAUCLT.EXE-70318591, 191
2019-10-24 10:46:36.771390, PINGSENDER.EXE-fa6def73, 23
2019-10-24 10:46:38.772366, TSTHEME.EXE-14ac78ea, 2
2019-10-26 13:56:26.149200, DRVINST.EXE-4cb4314a, 21
2019-10-26 13:57:24.961200, WERMGR.EXE-d92b7cf0, 1
2019-10-26 14:01:00.562800, MSIEXEC.EXE-e09a077a, 1
2019-10-26 14:01:01.545600, RUNDLL32.EXE-6b5a8623, 1
2019-10-26 14:01:03.636000, NET.EXE-40d48057, 1
2019-10-26 14:01:03.714000, NET1.EXE-3d280034, 1
2019-10-26 14:01:03.901200, AMAZON-SSM-AGENT.EXE-fc9719b9, 1
2019-10-26 14:01:26.373200, NET1.EXE-849da590, 11
2019-10-26 14:01:26.373200, NET.EXE-df44f913, 11
2019-10-26 14:01:32.085800, CMD.EXE-4a81b364, 10
2019-10-26 14:01:32.413400, XCOPY.EXE-41e6513f, 2
2019-10-26 14:01:36.081400, WMIC.EXE-a7d06383, 3
2019-10-26 14:01:36.299800, NETSH.EXE-f1b6da12, 1
2019-10-26 14:01:37.346000, GPRESULT.EXE-d674b2b6, 1
2019-10-26 14:01:37.860800, SYSTEMINFO.EXE-1905ee9d, 1
2019-10-26 14:01:42.620800, DRIVERQUERY.EXE-2a25f8aa, 1
2019-10-26 14:01:44.946200, PSSHUTDOWN.EXE-b97d2e9d, 2
2019-10-26 14:01:45.086600, PSSDNSVC.EXE-73868a36, 2
2019-10-26 14:01:46.180600, FIND.EXE-e2237f6d, 4
2019-10-26 14:01:46.367800, REG.EXE-e7e8bd26, 5
2019-10-26 14:01:46.461400, BCDEDIT.EXE-10fc5aab, 1
2019-10-26 14:01:46.976200, SC.EXE-945d79ae, 7
2019-10-29 11:18:50.189600, NTOSBOOT-b00dfaad, 2
2019-10-29 11:21:00.319600, DISKPART.EXE-9046403a, 2
2019-10-29 11:21:00.444400, VDSLDR.EXE-6b089e8b, 2
2019-10-29 11:21:00.460000, VDS.EXE-6e7946f9, 2
2019-10-29 11:21:01.942000, WMIPRVSE.EXE-1628051c, 31
2019-10-29 11:21:09.929200, MOFCOMP.EXE-8fe3d558, 1
2019-10-29 11:21:10.147600, CSC.EXE-be9ac2df, 1
2019-10-29 11:21:11.083600, CVTRES.EXE-2b9d810d, 1
